,name,album,artist,release_date,duration,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,La faille,La faille,Jul,2023-05-12,291280,72,0.227,0.941,0.775,0.0,0.0964,-5.151,0.167,130.028,4
1,Bolide allemand,Liens du 100,SDM,2022-12-01,176746,8,0.434,0.713,0.658,0.0,0.112,-7.491,0.16,131.813,4
2,C'est carré le S,En temps réel,Naps,2023-04-28,201533,76,0.281,0.867,0.723,0.0,0.0934,-4.276,0.125,135.033,4
3,Bande organisée,Bande organisée,Kofs,2020-08-15,356346,73,0.117,0.901,0.939,0.0,0.0643,-2.762,0.274,142.948,4
4,Bendo & Maille,Bendo & Maille,Neaj,2022-11-18,192010,43,0.118,0.811,0.384,0.0,0.277,-10.336,0.0459,120.044,4
5,Jolie (feat. Ninho),Jolie (feat. Ninho),GAULOIS,2023-01-12,159573,70,0.141,0.717,0.686,0.0,0.208,-6.388,0.0483,134.067,4
6,LA RUE,LA RUE,No Limit,2023-06-05,225137,80,0.348,0.713,0.59,1.99e-06,0.123,-8.651,0.196,138.065,4
7,Ose,Héros,Filest,2023-06-23,109241,28,0.159,0.873,0.573,5.69e-05,0.0668,-9.547,0.329,145.118,4
8,25 G,NI,Ninho,2023-06-30,250120,71,0.459,0.633,0.357,0.0,0.166,-8.475,0.314,137.451,4
9,Freestyle LVL UP 3,Freestyle LVL UP 3,Ninho,2023-05-22,200976,71,0.386,0.878,0.734,9.25e-06,0.0864,-7.034,0.254,93.771,3
10,Paqueta,Paqueta,Gambino,2023-07-06,179146,61,0.138,0.908,0.487,0.0,0.107,-8.224,0.351,91.014,4
11,Ragnar,Ragnar,Jul,2023-05-26,372613,66,0.432,0.76,0.677,0.0,0.1,-4.809,0.341,96.101,4
12,Freestyle LVL UP 2,Freestyle LVL UP 2,Ninho,2023-05-11,149064,73,0.293,0.687,0.824,0.0,0.182,-5.066,0.365,187.544,3
13,J'arrive en i,J'arrive en i,Bimbim,2023-06-13,187431,52,0.0859,0.952,0.526,0.0,0.0769,-8.857,0.347,128.051,4
14,Meuda,Mélo,Tiakola,2022-05-27,152546,81,0.508,0.724,0.593,0.0,0.196,-6.498,0.0766,141.901,4
15,Europa,Cœur blanc,Jul,2022-12-09,275013,25,0.243,0.877,0.629,0.0,0.0783,-6.902,0.152,128.025,4
16,Entraînement,C'est quand qu'il s'éteint ?,Jul,2023-06-09,251266,71,0.399,0.877,0.751,1.46e-05,0.122,-4.283,0.184,141.983,4
17,Mr. Ocho,Liens du 100,SDM,2022-12-01,226653,8,0.324,0.716,0.598,0.0,0.0766,-7.096,0.23,122.001,4
18,La vie qu'on mène,Destin,Ninho,2019-03-22,193443,76,0.687,0.8,0.756,2.06e-06,0.111,-4.4,0.0367,113.204,3
19,GOGETA,GOGETA,Lacrim,2023-05-26,168698,66,0.0602,0.837,0.667,0.0,0.0895,-7.341,0.381,98.026,4
20,Balader,Sans visa,Soolking,2022-05-26,176120,75,0.306,0.603,0.802,5.06e-05,0.124,-5.089,0.111,130.121,4
21,Capitaine,ALPHA (Parties 1 & 2),Djadja & Dinaz,2023-03-17,155920,76,0.37,0.768,0.662,0.0,0.0844,-5.92,0.182,151.937,4
